city,country,R2019,num,R2020,index
Bangkok,Thailand,1.57840207545,7/1,1.6284156406483976,271
Bangkok,Thailand,1.64166228188,7/10,1.6284156406483976,272
Bangkok,Thailand,1.64553575336,7/20,,273
Bangkok,Thailand,1.62560765247,8/1,,274
Bangkok,Thailand,1.6041650491,8/10,,275
Bangkok,Thailand,1.59793113688,8/20,,276
Bangkok,Thailand,1.58755026457,9/1,,277
Bangkok,Thailand,1.57874994839,9/10,,278
Bangkok,Thailand,1.60029416234,9/20,,279
Bangkok,Thailand,1.58873161326,10/1,,280
Bangkok,Thailand,1.619717923,10/10,,281
Bangkok,Thailand,1.65096759756,10/20,,282
Bangkok,Thailand,1.67920815472,11/1,,283
Bangkok,Thailand,1.71139755777,11/10,,284
Bangkok,Thailand,1.74941549828,11/20,,285
Bangkok,Thailand,1.83636814721,12/1,,286
Bangkok,Thailand,1.76920131512,12/10,,287
Bangkok,Thailand,1.66012070996,12/20,,288
Barcelona,Spain,1.79154017894,1/1,1.9908897678107484,289
Barcelona,Spain,1.79154017894,1/10,2.0374740407249172,290
Barcelona,Spain,1.79154017894,1/20,1.9101838658025532,291
Barcelona,Spain,1.79154017894,2/1,1.9028121183217859,292
Barcelona,Spain,1.79154017894,2/10,1.8623455696286773,293
Barcelona,Spain,1.79154017894,2/20,1.9124687841359047,294
Barcelona,Spain,1.79154017894,3/1,2.0003433587605373,295
Barcelona,Spain,1.79154017894,3/10,1.845489994909558,296
Barcelona,Spain,1.79154017894,3/20,1.9387750933883454,297
Barcelona,Spain,1.79154017894,4/1,1.8667170059470166,298
Barcelona,Spain,1.79154017894,4/10,1.7911652969809784,299
Barcelona,Spain,1.79154017894,4/20,1.8502441166442332,300
Barcelona,Spain,1.79154017894,5/1,1.7886545904113207,301
Barcelona,Spain,1.79154017894,5/10,1.8061403992789777,302
Barcelona,Spain,1.79154017894,5/20,1.755263360930788,303
Barcelona,Spain,1.79154017894,6/1,1.7715925402803425,304
Barcelona,Spain,1.79154017894,6/10,1.7836918737950256,305
Barcelona,Spain,1.79154017894,6/20,1.6542278701060347,306
Barcelona,Spain,1.79154017894,7/1,1.6779954346710153,307
Barcelona,Spain,1.79154017894,7/10,1.6779954346710153,308
Barcelona,Spain,1.79154017894,7/20,,309
Barcelona,Spain,1.79154017894,8/1,,310
Barcelona,Spain,1.79154017894,8/10,,311
Barcelona,Spain,1.79154017894,8/20,,312
Barcelona,Spain,1.79154017894,9/1,,313
Barcelona,Spain,1.79154017894,9/10,,314
Barcelona,Spain,1.79154017894,9/20,,315
Barcelona,Spain,1.79154017894,10/1,,316
Barcelona,Spain,1.79154017894,10/10,,317
Barcelona,Spain,1.79154017894,10/20,,318
Barcelona,Spain,1.99746144384,11/1,,319
Barcelona,Spain,2.06437875994,11/10,,320
Barcelona,Spain,1.96143143342,11/20,,321
Barcelona,Spain,1.92402986531,12/1,,322
Barcelona,Spain,1.93985492534,12/10,,323
Barcelona,Spain,1.94978642088,12/20,,324
Beijing,China,2.6839292546,1/1,2.4283646294407237,325
Beijing,China,2.63068509164,1/10,2.5358931301125494,326
Beijing,China,2.65478552449,1/20,2.4200930116809096,327
Beijing,China,2.62743710712,2/1,2.4034458593489534,328
Beijing,China,2.60541227635,2/10,2.2939493864699765,329
Beijing,China,2.44893026172,2/20,2.3084360065646092,330
Beijing,China,2.38280515037,3/1,2.2793901711572016,331
Beijing,China,2.37434688475,3/10,2.4075399677922205,332
Beijing,China,2.4434232127,3/20,2.3086162410328046,333
Beijing,China,2.33756642387,4/1,2.301306394454046,334
Beijing,China,2.20117793136,4/10,2.1946780483755957,335
Beijing,China,2.01145180799,4/20,2.2687875040732024,336
Beijing,China,2.15687316061,5/1,1.8717718930069747,337
Beijing,China,1.98578669847,5/10,2.073407947243889,338
Beijing,China,2.03241511613,5/20,1.945358161506335,339
Beijing,China,1.86708849209,6/1,1.9284127553876553,340
Beijing,China,1.84844874048,6/10,1.911377063236196,341
Beijing,China,1.87659572013,6/20,1.7978508860037594,342
