lat,lon,R-value
-48.55,-0.717,1.574313675993516
-98.254,26.184,1.6037777760565106
43.45,45.1,1.689729921326819
77.283,54.367,1.9307823423460353
21.817,-30.35,2.161261722606443
44.433,39.333,1.985876527417235
133.033,59.633,1.8167918485710501
56.25,25.617,1.5601925139357375
-89.883,46.117,1.8026985721837998
73.1,31.433,1.5797460081680132
15.826,53.791,1.7695491603382318
-72.017,44.567,1.8843198323841064
36.7,55.383,1.8951821191579534
26.65,47.733,1.8637297369270223
166.573,-20.641,1.8366105953310012
27.9,62.8,2.005077012439141
127.067,37.9,1.6833883062413055
90.533,45.367,2.252087749425994
-84.027,40.708,1.6422154107699969
34.717,-24.05,1.9719407161763076
91.85,21.817,1.5875484367621193
26.912,37.69,1.8231690527990645
73.633,15.867,1.5402370680208093
-2.85,53.334,1.8030533752863784
36.815,-1.322,1.8494865194559647
-88.866,39.834,1.5723125819042991
-103.083,34.433,1.9151302644458363
22.046,40.814,1.8491219674867225
-68.418,-31.571,2.262858721158405
117.333,2.85,1.5458492911254251
-76.016,36.399,1.6019240031567188
100.393,6.933,1.5613550012482862
141.917,-12.683,1.7778146700921056
-4.433,58.283,1.7913487870103428
-120.53,47.034,2.0683594462718653
-7.4,33.717,1.7832295551320578
12.2,58.6,1.8458844668422338
46.171,51.713,1.8950416257144969
36.283,36.35,1.815066175081435
-73.35,49.267,1.7680893656771497
13.067,56.95,1.8225064595209601
102.817,16.333,1.5975219385536943
-35.683,-6.967,1.6539269135605015
-116.786,34.854,1.9645817856589645
123.483,41.64,1.7272615339493023
99.9,19.193,1.6298651028346776
-106.429,31.636,2.0147957500232168
-54.967,-20.983,1.7370216729738002
21.293,37.921,1.806828551650536
98.7,3.8,1.5752821983642842
125.7,38.033,1.6577694283446176
87.65,55.217,2.0054085631050143
84.917,56.5,1.8788030933493642
-0.033,14.033,1.7867220046876247
-0.508,43.912,1.7983436471279381
-155.902,59.324,1.9281507776177325
36.45,9.083,1.743568425102199
-70.77,-27.25,2.006967713902363
-96.8,44.3,1.7323593979887306
-79.1,40.633,1.6088519218705415
-102.898,48.381,1.847628884832421
-95.651,45.332,1.8485648354574669
127.499,36.717,1.7233046179083489
10.564,47.14,1.8513799825457031
