city,country,R,temp,rh
Munich,Germany,1.786525843604492,15.681818181818182,87.29832295349219
Nagasaki,Japan,1.522954679765327,24.295454545454547,98.28049928566864
Nagoya,Japan,1.5436447335518486,26.081818181818182,91.77584160764637
Nairobi,Kenya,1.8554021287503248,16.28636363636364,77.88554337514755
Nanjing (Nanking),China,1.4866647272727274,25.39090909090909,100.0
Naples,Italy,1.7615956516851443,26.831818181818182,64.65510522847443
New Delhi,India,1.591491667892487,32.075,72.46664709877776
Newcastle-on-Tyne,England,1.9802608193664164,13.095238095238097,70.64531464815884
Odessa,Ukraine,1.976681643293098,25.927272727272726,41.6594609427413
Osaka,Japan,1.5703540112190706,27.909090909090907,84.47590460468558
Oslo,Norway,2.07124805814782,15.609523809523811,54.27956920244077
Panama City,Panama,1.5673096805772238,25.68181818181818,89.9342393902367
Paramaribo,Suriname,1.6240869079780786,27.75,78.57786620302117
Paris,France,2.0466846822902074,18.78636363636364,49.863101237632115
Perth,Australia,2.1008620534148816,12.046666666666667,58.99189742639302
Plymouth,England,1.8637974272505566,14.49090909090909,81.02113053871454
Port Moresby,Papua New Guinea,1.582537339709225,25.883333333333333,87.69770710459693
Prague,Czech Republic,1.9815237411131355,16.307142857142857,63.138441761705835
Rangoon,Myanmar,1.5740112239233293,28.575,82.52380840054441
Reykjavik,Iceland,1.9256944074291098,10.754545454545454,82.36844160076068
Rio de Janeiro,Brazil,1.8153398636083327,22.8125,67.6009774349263
Rome,Italy,1.8821716402924058,29.416666666666668,44.67910175302186
Salvador,Brazil,1.6990389737231453,24.21333333333333,77.94602481859224
Santiago,Chile,1.9336559015125667,8.7875,85.94776788897828
St. Petersburg,Russia,1.8509239058050384,16.67727272727273,77.51176134927503
Sao Paulo,Brazil,1.8028097291403262,17.90909090909091,80.29691650197513
Shanghai,China,1.5213103280071598,26.409090909090907,93.62901453614373
Singapore,Singapore,1.5744318714147032,28.090909090909093,83.58401583426854
Sofia,Bulgaria,1.9386166303446104,22.76818181818182,53.334605490668416
Stockholm,Sweden,1.9056828652554774,15.4,74.05630941078356
Sydney,Australia,1.8239059972453455,11.007142857142856,93.65309722415222
Tananarive,Madagascar,1.8364732465871856,13.2,87.16372417398772
Teheran,Iran,2.032246010914457,30.68181818181818,24.28897944417223
Tokyo,Japan,1.5892421566671877,27.1,84.12841996885923
Tripoli,Libya,1.9105014763829913,27.5,45.76905869662112
Venice,Italy,1.7912131118990886,26.9,61.0469566551179
Veracruz,Mexico,1.5297622164002647,28.0,88.99857617712537
Vienna,Austria,1.7906837503273367,17.404545454545453,82.8663037338345
Vladivostok,Russia,1.76179232750601,18.0875,84.66869726037181
Warsaw,Poland,1.8089365623312652,14.913636363636362,86.44654391138045
Wellington,New Zealand,2.007274601213198,11.5,71.15214438074612
Zurich,Switzerland,1.7838573765773509,16.304545454545455,86.18243121052282
Manama,Bahrain,1.7117032944435655,36.945454545454545,47.29592881034944
Zagreb,Croatia,1.812662296266977,22.845,67.83857852366239
Vilnius,Lithuania,1.8149930196781792,17.5,79.81433337084161
New York,U.S.A,1.6255789422282445,23.47142857142857,88.20778229108042
Ottawa,Canada,1.6821279440808556,25.113636363636363,77.85407517599694
Los Angeles,U.S.A,1.9080559889421722,24.771428571428572,52.30626169505155
Austin,U.S.A,1.79124106391509,33.48571428571428,45.953355854052155
Vancouver,Canada,1.8486593271958696,16.881818181818183,77.30700784960199
Abu Dhabi,United Arab Emirates,1.75523293838421,38.15909090909091,39.44164735933134
Chisinau,Moldova,1.9926232646004092,26.85,37.687148647970936
Yerevan,Armenia,1.8666073296119983,24.363636363636363,58.071512759779836
