No.,city,country,latitude,longitude,latitude of nearest station,longitude of nearest station,USAF,WBAN
24,Budapest,Hungary,47.5,19.083333333333332,47.433,19.183,128430,99999
25,Buenos Aires,Argentina,-34.583333333333336,-58.36666666666667,-34.559,-58.416000000000004,875820,99999
26,Cairo,Egypt,30.033333333333335,31.35,30.122,31.406,623660,99999
27,Calcutta,India,22.566666666666666,88.4,22.533,88.333,428070,99999
28,Canton,China,23.116666666666667,113.25,23.392,113.29899999999999,592870,99999
29,Cape Town,South Africa,-33.916666666666664,18.366666666666667,-33.933,18.417,688190,99999
30,Caracas,Venezuela,10.466666666666667,-67.03333333333333,10.603,-66.991,804150,99999
31,Cayenne,French Guiana,4.816666666666666,-52.3,4.82,-52.36,814050,99999
32,Chihuahua,Mexico,28.616666666666667,-106.08333333333333,28.633000000000003,-106.083,762250,99999
33,Chongqing,China,29.766666666666666,106.56666666666666,29.719,106.64200000000001,575160,99999
34,Copenhagen,Denmark,55.666666666666664,12.566666666666666,55.618,12.655999999999999,061800,99999
35,Cordoba,Argentina,-31.466666666666665,-64.16666666666667,-31.445,-64.283,873470,99999
36,Dakar,Senegal,14.666666666666666,-17.466666666666665,14.74,-17.49,616410,99999
37,Darwin,Australia,-12.466666666666667,130.85,-12.415,130.877,941200,99999
38,Djibouti,Djibouti,11.5,43.05,11.55,43.133,631252,99999
39,Dublin,Ireland,53.333333333333336,-6.25,53.42100000000001,-6.27,039690,99999
40,Durban,South Africa,-29.883333333333333,30.883333333333333,-29.97,30.951,685880,99999
41,Edinburgh,Scotland,55.916666666666664,-3.1666666666666665,55.933,-3.35,031660,99999
42,Frankfurt,Germany,50.11666666666667,8.683333333333334,50.026,8.543,106370,99999
43,Georgetown,Guyana,6.75,-58.25,6.8,-58.15,810010,99999
44,Glasgow,Scotland,55.833333333333336,-4.25,55.872,-4.433,031400,99999
45,Guatemala City,Guatemala,14.616666666666667,-90.51666666666667,14.583,-90.527,786410,99999
46,Guayaquil,Ecuador,-2.1666666666666665,-79.93333333333334,-2.157,-79.884,842030,99999
47,Hamburg,Germany,53.55,10.033333333333333,53.63,9.988,101470,99999
48,Hammerfest,Norway,70.63333333333334,23.633333333333333,70.683,23.683000000000003,010520,99999
49,Havana,Cuba,23.133333333333333,-82.38333333333334,22.989,-82.40899999999999,782240,99999
50,Helsinki,Finland,60.166666666666664,25.0,60.2,24.967,029980,99999
51,Hobart,Tasmania,-42.86666666666667,147.31666666666666,-42.9,147.233,959790,99999
52,Hong Kong,China,22.333333333333332,114.18333333333334,22.4,114.2,450390,99999
53,Iquique,Chile,-20.166666666666668,-70.11666666666666,-20.535,-70.181,854180,99999
54,Irkutsk,Russia,52.5,104.33333333333333,52.268,104.389,307100,99999
55,Jakarta,Indonesia,-6.266666666666667,106.8,-6.183,106.833,967450,99999
56,Johannesburg,South Africa,-26.2,28.066666666666666,-26.15,28.0,683610,99999
57,Kingston,Jamaica,17.983333333333334,-76.81666666666666,17.936,-76.788,783970,99999
58,Kinshasa,Congo,-4.3,15.283333333333333,-4.317,15.317,642110,99999
59,Kuala Lumpur,Malaysia,3.1333333333333333,101.7,3.1310000000000002,101.54899999999999,486470,99999
60,La Paz,Bolivia,-16.45,-68.36666666666666,-16.512999999999998,-68.192,852010,99999
61,Leeds,England,53.75,-1.5,53.86600000000001,-1.661,033463,99999
62,Lima,Peru,-12.0,-77.03333333333333,-12.022,-77.11399999999999,846280,99999
